eraJournalId,title,foreignTitle,forOne,forOneName,forTwo,forTwoName,forThree,forThreeName,issn1,issn2,issn3,issn4,issn5,issn6,issn7
30233,(mt) Marine Technology,,911,Maritime Engineering ,,,,,2153-4721,2153-473X,1542-0566,1945-3582,,,
123384,19: interdisciplinary studies in the long nineteenth century,,2005,Literary Studies,2103,Historical Studies,2002,Cultural Studies,1755-1560,,,,,,
34647,3CMedia,,20,"Language, Communication And Culture",,,,,1445-971X,1832-6161,,,,,
39853,4OR: A Quarterly Journal of Operations Research,,102,Applied Mathematics,1503,Business And Management,,,0390-8127,1619-4500,,,,,
200090,A Contracorriente,,2002,Cultural Studies,2005,Literary Studies,2099,"Other Language, Literature and Culture",1548-7083, , , , , , 
32180,A St A: Advances in Statistical Analysis,,104,Statistics ,,,,,0002-6018,1863-8171,1863-818X,,,,
30533,AA files: annals of the Architectural Association School of Architecture,,1201,Architecture,,,,,0261-6823,,,,,,
36072,AACE International Transactions,,12,Built Environment And Design,15,"Commerce, Management, Tourism And Services",,,1528-7106,,,,,,
15571,AACN Advanced Critical Care,,1103,Clinical Sciences,,,,,1079-0713,1559-7768,1559-7776,,,,
44322,AANA Journal,,1103,Clinical Sciences,1110,Nursing,,,0094-6354,,,,,,
44323,AAOHN Journal,,1110,Nursing,,,,,0891-0162,,,,,,
14674,AAPS PharmSciTech,,1115,Pharmacology And Pharmaceutical Sciences,,,,,1530-9932,,,,,,
19052,"Abacus: a journal of accounting, finance and business studies ",,1501,"Accounting, Auditing And Accountability",,,,,0001-3072,1467-6281,,,,,
32508,Abhandlungen aus dem Mathematischen Seminar der Universitaet Hamburg,,101,Pure Mathematics,,,,,0025-5858,,,,,,
6715,Aboriginal History,,2005,Literary Studies,2103,Historical Studies,2099,"Other Language, Literature and Culture",0314-8769,1837-9389,,,,,
35596,About Performance,,1901,Art Theory And Criticism,1904,Performing Arts And Creative Writing,2002,Cultural Studies,1324-6089,,,,,,
1,Abstract and Applied Analysis,,101,Pure Mathematics,,,,,1085-3375,1687-0409,,,,,
15574,Academic Emergency Medicine,,1103,Clinical Sciences,1117,Public Health And Health Services,,,1069-6563,1553-2712,,,,,
44325,Academic Journal of Second Military Medical University,,1117,Public Health And Health Services,1199,Other Medical And Health Sciences,,,0258-879X,,,,,,
19961,Academic Leadership,,1301,Education Systems ,,,,,1533-7812,,,,,,
20514,Academic Medicine,,1302,Curriculum And Pedagogy ,,,,,1040-2446,1938-808X,,,,,
15622,Academic Pediatrics,,1114,Paediatrics And Reproductive Medicine,,,,,1530-1567,1876-2859,,,,,
20534,Academic Psychiatry,,1302,Curriculum And Pedagogy ,,,,,1042-9670,1545-7230,,,,,
